date,Pair,Open,High,Low,Close,12ema,26ema,200ema,macd,signal_line,macd_signal
2023-01-08 18:00:00-05:00,RTY=F,1802.9000244140625,1807.0999755859373,1802.5999755859373,1806.699951171875,,,,,,
2023-01-08 19:00:00-05:00,RTY=F,1806.800048828125,1808.5,1805.0999755859373,1808.5,,,,,,
2023-01-08 20:00:00-05:00,RTY=F,1808.4000244140625,1808.9000244140625,1806.4000244140625,1806.4000244140625,,,,,,
2023-01-08 21:00:00-05:00,RTY=F,1806.699951171875,1807.9000244140625,1806.0,1806.9000244140625,,,,,,
2023-01-08 22:00:00-05:00,RTY=F,1806.9000244140625,1807.199951171875,1805.800048828125,1806.800048828125,,,,,,
2023-01-08 23:00:00-05:00,RTY=F,1806.699951171875,1810.300048828125,1806.5999755859373,1809.300048828125,,,,,,
2023-01-09 00:00:00-05:00,RTY=F,1809.5,1809.5,1808.0999755859373,1808.5,,,,,,
2023-01-09 01:00:00-05:00,RTY=F,1808.699951171875,1808.699951171875,1807.5,1808.0,,,,,,
2023-01-09 02:00:00-05:00,RTY=F,1807.800048828125,1808.0,1803.800048828125,1804.0999755859373,,,,,,
2023-01-09 03:00:00-05:00,RTY=F,1804.0,1805.9000244140625,1802.9000244140625,1804.199951171875,,,,,,
2023-01-09 04:00:00-05:00,RTY=F,1804.199951171875,1810.800048828125,1804.0,1808.5999755859373,,,,,,
2023-01-09 05:00:00-05:00,RTY=F,1808.699951171875,1811.699951171875,1808.0,1811.4000244140625,1807.450002034505,,,,,
2023-01-09 06:00:00-05:00,RTY=F,1811.5,1812.0999755859373,1809.300048828125,1809.5999755859373,1807.780767196264,,,,,
2023-01-09 07:00:00-05:00,RTY=F,1809.4000244140625,1813.699951171875,1809.199951171875,1811.4000244140625,1808.3375759990024,,,,,
2023-01-09 08:00:00-05:00,RTY=F,1811.5999755859373,1815.199951171875,1808.800048828125,1812.699951171875,1809.0087106409824,,,,,
2023-01-09 09:00:00-05:00,RTY=F,1812.5,1820.9000244140625,1807.5999755859373,1818.5999755859373,1810.4842898632835,,,,,
2023-01-09 10:00:00-05:00,RTY=F,1818.699951171875,1824.300048828125,1816.300048828125,1820.800048828125,1812.071329704028,,,,,
2023-01-09 11:00:00-05:00,RTY=F,1820.800048828125,1828.5,1820.800048828125,1826.5,1814.2911251341775,,,,,
2023-01-09 12:00:00-05:00,RTY=F,1826.5999755859373,1827.300048828125,1821.300048828125,1822.800048828125,1815.6001903178617,,,,,
2023-01-09 13:00:00-05:00,RTY=F,1822.800048828125,1823.5999755859373,1811.9000244140625,1815.5,1815.584776422806,,,,,
